step,t,max_u,plate_disp
302,1.88750000e+00,1.6666625969865803e-01,1.1701259998371642e-01
303,1.89375000e+00,1.6666625969865853e-01,1.1743017533507287e-01
304,1.90000000e+00,1.6666625969865806e-01,1.1784788748487628e-01
305,1.90625000e+00,1.6666625969865911e-01,1.1826574630090793e-01
306,1.91250000e+00,1.6666625969865653e-01,1.1868374140905187e-01
307,1.91875000e+00,1.6666625969865873e-01,1.1910189770637174e-01
308,1.92500000e+00,1.6666625969865770e-01,1.1952018684056122e-01
309,1.93125000e+00,1.6666625969865961e-01,1.1993862535035801e-01
310,1.93750000e+00,1.6666625969865909e-01,1.2035713798718911e-01
311,1.94375000e+00,1.6666625969865850e-01,1.2077583827039448e-01
312,1.95000000e+00,1.6666625969865845e-01,1.2119466328881362e-01
313,1.95625000e+00,1.6666625969865856e-01,1.2161364738272060e-01
314,1.96250000e+00,1.6666625969865942e-01,1.2203277891556752e-01
315,1.96875000e+00,1.6666625969865898e-01,1.2245203859294053e-01
316,1.97500000e+00,1.6666625969865997e-01,1.2287143090101439e-01
317,1.98125000e+00,1.6666625969865859e-01,1.2329094311557362e-01
318,1.98750000e+00,1.6666625969866014e-01,1.2371063497360106e-01
319,1.99375000e+00,1.6666625969865911e-01,1.2413043789990701e-01
320,2.00000000e+00,1.6666625969866095e-01,1.2455043249136755e-01
